Generations,Fitness,PercentageError,ones_counter,
0,54,21.65,29
1,58,16.9,30
2,65,25.5,32
3,65,26.35,33
4,68,26.2,32
5,74,23.7,35
6,75,26.1,37
7,77,26.4,38
8,80,25.5,39
9,86,20.2,41
10,90,25.2,42
11,90,25.65,43
12,94,23.4,44
13,95,25.85,46
14,102,24.6,47
15,105,25.75,48
16,107,25.1,49
17,109,24.4,50
18,110,25.2,50
19,112,24.6,53
20,118,20.4,54
21,119,23.3,53
22,126,24.65,56
23,126,24.5,56
24,129,23.85,58
25,134,25.9,60
26,135,22.1,61
27,141,23.95,62
28,139,24.15,64
29,145,18.35,65
30,146,22.5,67
31,151,21.15,68
32,152,20.25,67
33,159,22,70
34,158,21.8,71
35,158,18.05,74
36,165,22.95,73
37,169,16.9,76
38,174,19.05,76
39,177,15.3,78
40,175,16.55,80
41,181,14.6,82
42,188,14,83
43,189,14.1,84
44,191,14.7,84
45,191,14.3,87
46,197,13.3,88
47,201,14.9,90
48,206,12.1,91
49,206,13.5,92
50,211,13.2,93
51,214,14.75,94
52,215,14.4,95
53,223,12.25,99
54,225,12.45,100
