Train results.
IternationCount,MinErr,AverageErr,MaxError,PercentageError,PatternError,
1,0.0201778,0.341498,0.962916,28.5,0.417364
2,0.0162102,0.282412,0.972803,20.4,0.289769
3,0.0129743,0.270798,0.978707,19.5,0.235027
4,0.0100872,0.262471,0.984277,19.1,0.216192
5,0.00809761,0.255019,0.988157,18.5,0.266792
6,0.0067014,0.247979,0.990307,18.4,0.311905
7,0.00535719,0.241149,0.991533,17.25,0.318484
8,0.00416199,0.233523,0.992462,16.6,0.272608
9,0.00328126,0.224581,0.993596,15.95,0.218753
10,0.00222659,0.214781,0.995376,15.6,0.153855
11,0.00157064,0.20622,0.996736,15.2,0.100857
12,0.0011189,0.197872,0.997563,14.6,0.09327
13,0.000787318,0.189593,0.998213,13.75,0.11931
14,0.000539243,0.182535,0.998831,13.2,0.175823
15,0.000326931,0.176172,0.999234,12.75,0.246408
